card_set,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
"center stage mosaic white",120,0,0,0,0
"center stage silver",120,0,0,0,0
"century collection",34,0,0,0,0
"century collection diamond",40,0,0,0,0
"century collection emerald",40,0,0,0,0
"century collection gold",40,0,0,0,0
"century collection pearl",40,0,0,0,0
"century collection ruby",39,0,0,0,0
"century collection sapphire",38,0,0,0,0
"century materials",420,0,0,0,0
"century materials emerald",399,0,0,0,0
"century materials gold",300,0,0,0,0
"century materials holo gold",399,0,0,0,0
"century materials holo silver",399,0,0,0,0
"century materials platinum",399,0,0,0,0
"century materials prime",160,0,0,0,0
"century materials printing plate black",400,0,0,0,0
"century materials printing plate cyan",400,0,0,0,0
"century materials printing plate magenta",400,0,0,0,0
"century materials printing plate yellow",400,0,0,0,0
"century materials super prime",60,0,0,0,0
"century signatures",16,16,16,0,245
"century signatures diamond",16,16,16,0,16
"century signatures emerald",16,16,16,0,48
"century signatures gold",16,16,16,0,85
"century signatures ruby",16,16,16,0,46
"century signatures sapphire",16,16,16,0,165
"certified air",45,0,0,0,0
"certified baller",25,0,0,0,0
"certified baller mirror blue",25,0,0,0,0
"certified baller mirror platinum black",25,0,0,0,0
"certified baller mirror platinum camo",25,0,0,0,0
"certified baller mirror platinum gold",25,0,0,0,0
"certified baller mirror red",25,0,0,0,0
"certified ballers mirror",32,0,0,0,0
"certified ballers mirror black",32,0,0,0,0
"certified ballers mirror blue",32,0,0,0,0
"certified ballers mirror bronze",32,0,0,0,0
"certified ballers mirror gold",32,0,0,0,0
"certified ballers mirror green",32,0,0,0,0
"certified ballers mirror orange",32,0,0,0,0
"certified ballers mirror pink",32,0,0,0,0
"certified ballers mirror purple",32,0,0,0,0
"certified ballers mirror red",32,0,0,0,0
"certified ballers mirror teal",32,0,0,0,0
"certified collegiate fabric of the game",25,0,0,0,0
"certified collegiate fabric of the game prime",25,0,0,0,0
"certified collegiate fabric of the game prime 150th anniversary",24,0,0,0,0
"certified collegiate fabric of the game prime 150th anniversary signatures",5,5,5,0,25
"certified collegiate fabric of the game prime bowl game",23,0,0,0,0
"certified collegiate fabric of the game prime bowl game signatures",5,5,5,0,29
"certified collegiate fabric of the game prime brand logo",23,0,0,0,0
"certified collegiate fabric of the game prime brand logo signatures",5,5,5,0,8
"certified collegiate fabric of the game prime conference logo",24,0,0,0,0
"certified collegiate fabric of the game prime conference logo signatures",5,5,5,0,5
"certified collegiate fabric of the game prime signatures",5,5,5,0,49
"certified collegiate fabric of the game prime team logo shield",16,0,0,0,0
"certified collegiate fabric of the game prime team logo shield signatures",3,3,3,0,3
"certified collegiate fabric of the game signatures",5,5,5,0,115
"certified competitor autographs mirror blue",22,22,22,0,1100
"certified competitor autographs mirror platinum black",24,24,24,0,24
"certified competitor autographs mirror platinum camo",23,23,23,0,575
"certified competitor autographs mirror platinum gold",22,22,22,0,220
"certified competitor autographs mirror red",22,22,22,0,2200
"certified gamers",25,0,0,0,0
"certified gamers mirror",42,0,0,0,0
"certified gamers mirror black",47,0,0,0,0
"certified gamers mirror blue",47,0,0,0,0
"certified gamers mirror bronze",31,0,0,0,0
"certified gamers mirror gold",47,0,0,0,0
"certified gamers mirror green",47,0,0,0,0
"certified gamers mirror orange",47,0,0,0,0
"certified gamers mirror pink",31,0,0,0,0
"certified gamers mirror platinum blue camo",25,0,0,0,0
"certified gamers mirror platinum gold",25,0,0,0,0
"certified gamers mirror platinum mixorama",25,0,0,0,0
"certified gamers mirror platinum nebula",25,0,0,0,0
"certified gamers mirror purple",47,0,0,0,0
"certified gamers mirror red",47,0,0,0,0
"certified gamers mirror teal",47,0,0,0,0
"certified ground",25,0,0,0,0
"certified potential signatures",96,96,96,0,9437
"certified potential signatures mirror black",105,105,105,0,105
"certified potential signatures mirror blue",68,68,68,0,3193
"certified potential signatures mirror gold",101,101,101,0,1988
"certified potential signatures mirror green",103,103,103,0,437
"certified potential signatures mirror purple",103,103,103,0,852
"certified potential signatures mirror red",66,66,66,0,3962
"certified potential signatures mirror teal",98,98,98,0,3585
"certified prototypes",20,0,0,0,0
"certified rookies",40,0,0,0,0
"certified rookies mirror black",40,0,0,0,0
"certified rookies mirror blue",40,0,0,0,0
"certified rookies mirror bronze",20,0,0,0,0
"certified rookies mirror gold",40,0,0,0,0
"certified rookies mirror green",40,0,0,0,0
"certified rookies mirror orange",40,0,0,0,0
"certified rookies mirror pink",20,0,0,0,0
"certified rookies mirror purple",40,0,0,0,0
"certified rookies mirror red",40,0,0,0,0
"certified rookies mirror teal",20,0,0,0,0
"certified rookies printing plates black",20,0,0,0,0
"certified rookies printing plates cyan",20,0,0,0,0
"certified rookies printing plates magenta",20,0,0,0,0
"certified rookies printing plates yellow",20,0,0,0,0
"certified rookies signatures mirror",11,11,11,0,1089
"certified rookies signatures mirror black",20,20,20,0,20
"certified rookies signatures mirror blue",11,11,11,0,539
"certified rookies signatures mirror gold",20,20,20,0,200
"certified rookies signatures mirror green",20,20,20,0,100
"certified rookies signatures mirror orange",14,14,14,0,280
"certified rookies signatures mirror purple",14,14,14,0,350
"certified rookies signatures mirror red",11,11,11,0,825
"certified stars",120,0,0,0,0
"certified stars mirror black",120,0,0,0,0
"certified stars mirror blue",120,0,0,0,0
"certified stars mirror bronze",95,0,0,0,0
"certified stars mirror gold",120,0,0,0,0
"certified stars mirror green",120,0,0,0,0
"certified stars mirror orange",95,0,0,0,0
"certified stars mirror pink",95,0,0,0,0
"certified stars mirror purple",120,0,0,0,0
"certified stars mirror red",95,0,0,0,0
"certified stars mirror teal",120,0,0,0,0
"certified stunners",20,0,0,0,0
"certified tuddy",25,0,0,0,0
"certified tuddy mirror blue",25,0,0,0,0
"certified tuddy mirror platinum black",25,0,0,0,0
"certified tuddy mirror platinum camo",25,0,0,0,0
"certified tuddy mirror platinum gold",25,0,0,0,0
"certified tuddy mirror red",25,0,0,0,0
"chain movers",30,0,0,0,0
"chain movers emerald",30,0,0,0,0
"chain movers gold",30,0,0,0,0
"chain movers orange",30,0,0,0,0
"chain movers platinum",30,0,0,0,0
"chain movers ruby",30,0,0,0,0
"chain movers sapphire",30,0,0,0,0
"chain movers silver",30,0,0,0,0
"chain reaction",30,0,0,0,0
"chain reaction black pandora",30,0,0,0,0
"chain reaction dragon",10,0,0,0,0
"chain reaction gold",30,0,0,0,0
"chain reaction gold vinyl",30,0,0,0,0
"chain reaction ice",30,0,0,0,0
"chain reaction purple stars",30,0,0,0,0
"chalk talk",25,0,0,0,0
"chalk talk blue",25,0,0,0,0
"chalk talk gold",25,0,0,0,0
"chalk talk red",25,0,0,0,0
"chalk talk white",25,0,0,0,0
"champ is here",97,0,0,0,0
"champ is here autographs",47,47,47,0,5048
"champ is here holo",97,0,0,0,0
"champ is here red",40,0,0,0,0
"champion signatures",107,107,107,0,6087
"champion signatures celestial",39,39,39,0,2039
"champion signatures gold",104,104,104,0,104
"champion signatures hyper",66,66,66,0,2416
"champion signatures meta",65,65,65,0,1087
"champion signatures nebula",106,106,106,0,178
"champion signatures neon blue",80,80,80,0,2173
"champion signatures neon green",90,90,90,0,1762
"champion signatures neon marble",105,105,105,0,331
"champion signatures neon orange",106,106,106,0,783
"champion signatures neon pink",95,95,95,0,964
"champion signatures neon splatter",79,79,79,0,507
"champion signatures psychedelic",105,105,105,0,423
"champion signatures spectris",21,21,21,0,735
"champion signatures supernova",11,11,11,0,785
champions,40,0,0,0,0
"champions 2x signatures",14,14,14,0,280
"champions 2x signatures emerald",14,14,14,0,56
"champions 2x signatures gold and ruby efoilution",6,6,6,0,18
"champions 2x signatures platinum",14,14,14,0,14
"champions 2x signatures ruby",14,14,14,0,161
"champions 2x signatures sapphire",14,14,14,0,105
"champions 2x signatures silver",14,14,14,0,210
"champions 2x signatures sterling and gold efoilution",6,6,6,0,6
"champions 2x signatures sterling and sapphire efoilution",6,6,6,0,30
"champions 3x signatures",10,10,10,0,210
"champions 3x signatures emerald",10,10,10,0,42
"champions 3x signatures gold and ruby efoilution",1,1,1,0,3
"champions 3x signatures platinum",10,10,10,0,10
"champions 3x signatures ruby",10,10,10,0,122
"champions 3x signatures sapphire",10,10,10,0,80
"champions 3x signatures silver",10,10,10,0,160
"champions 3x signatures sterling and gold efoilution",1,1,1,0,1
"champions 3x signatures sterling and sapphire efoilution",1,1,1,0,5
"champions 4x signatures",4,4,4,0,90
"champions 4x signatures emerald",4,4,4,0,18
"champions 4x signatures gold and ruby efoilution",2,2,2,0,6
"champions 4x signatures platinum",4,4,4,0,4
"champions 4x signatures ruby",4,4,4,0,53
"champions 4x signatures sapphire",4,4,4,0,35
"champions 4x signatures silver",4,4,4,0,70
"champions 4x signatures sterling and gold efoilution",2,2,2,0,2
"champions 4x signatures sterling and sapphire efoilution",2,2,2,0,10
"champions aquamarine",20,0,0,0,0
"champions black",15,0,0,0,0
"champions diamond",20,0,0,0,0
"champions diamond black",20,0,0,0,0
"champions emerald",20,0,0,0,0
"champions gold",15,0,0,0,0
"champions holo",5,0,0,0,0
"champions mojo",15,0,0,0,0
"champions platinum",20,0,0,0,0
"champions sapphire",20,0,0,0,0
"champions signatures",19,19,19,0,405
"champions signatures emerald",19,19,19,0,81
"champions signatures gold and ruby efoilution",7,7,7,0,21
"champions signatures platinum",19,19,19,0,19
"champions signatures ruby",19,19,19,0,236
"champions signatures sapphire",18,18,18,0,145
"champions signatures silver",19,19,19,0,310
"champions signatures sterling and gold efoilution",7,7,7,0,7
"champions signatures sterling and sapphire efoilution",7,7,7,0,35
"champions silver",15,0,0,0,0
"championship fabric",30,0,0,0,0
"championship fabric gold",30,0,0,0,0
"championship fabric holo silver",30,0,0,0,0
"championship fabric platinum",30,0,0,0,0
"championship gear",58,0,0,0,0
"championship gear gold",59,0,0,0,0
"championship gear hyper",57,0,0,0,0
"championship gear meta",28,0,0,0,0
"championship gear nebula",58,0,0,0,0
"championship gear neon blue",57,0,0,0,0
"championship gear neon green",44,0,0,0,0
"championship gear neon marble",58,0,0,0,0
"championship gear neon orange",57,0,0,0,0
"championship gear neon pink",57,0,0,0,0
"championship gear neon splatter",27,0,0,0,0
"championship gear psychedelic",57,0,0,0,0
"championship memorabilia",40,0,0,0,0
"championship memorabilia platinum",40,0,0,0,0
"championship ticket",400,0,0,0,0
"changing stripes",36,0,0,0,0
"changing stripes prime",32,0,0,0,0
"choice materials",7,0,0,0,0
"choice materials diamond",29,0,0,0,0
"choice materials emerald",29,0,0,0,0
"choice materials gold",29,0,0,0,0
"choice materials pearl",29,0,0,0,0
"choice materials ruby",29,0,0,0,0
"choice materials sapphire",29,0,0,0,0
chromatic,23,0,0,0,0
"chromatic gold",23,0,0,0,0
"chromatic interstellar",23,0,0,0,0
"chromatic meta",23,0,0,0,0
"chromatic nebula",23,0,0,0,0
"chromatic neon marble",23,0,0,0,0
"chromatic neon splatter",23,0,0,0,0
"chromatic psychedelic",23,0,0,0,0
"chromatic universal",23,0,0,0,0
"chronicles draft picks",100,0,0,0,0
"chronicles draft picks autograph",21,21,21,0,1559
"chronicles draft picks autograph gold",21,21,21,0,210
"chronicles draft picks autograph platinum",21,21,21,0,21
"chronicles draft picks autographs",25,25,0,25,0
"chronicles draft picks autographs platinum",25,25,25,0,25
"chronicles draft picks autographs red",25,25,0,25,0
"chronicles draft picks black",25,0,0,0,0
"chronicles draft picks blue",100,0,0,0,0
"chronicles draft picks bronze",50,0,0,0,0
"chronicles draft picks cracked ice",75,0,0,0,0
"chronicles draft picks gold",75,0,0,0,0
"chronicles draft picks green",75,0,0,0,0
"chronicles draft picks green cracked ice",50,0,0,0,0
"chronicles draft picks orange",50,0,0,0,0
"chronicles draft picks pink",75,0,0,0,0
"chronicles draft picks platinum",100,0,0,0,0
"chronicles draft picks printing plates black",25,0,0,0,0
"chronicles draft picks printing plates cyan",25,0,0,0,0
"chronicles draft picks printing plates magenta",25,0,0,0,0
"chronicles draft picks printing plates yellow",25,0,0,0,0
"chronicles draft picks purple",75,0,0,0,0
"chronicles draft picks red",100,0,0,0,0
"chronicles draft picks signatures",24,24,0,24,0
"chronicles draft picks signatures platinum",24,24,24,0,24
"chronicles draft picks signatures red",24,24,0,24,0
"city limits",30,0,0,0,0
"class of 2024",20,0,0,0,0
"class president",50,0,0,0,0
"class president copper",50,0,0,0,0
"class president emerald",50,0,0,0,0
"class president gold",50,0,0,0,0
"class president platinum",50,0,0,0,0
"classic beginnings",50,0,0,0,0
"classic beginnings black",50,0,0,0,0
"classic beginnings blue",50,0,0,0,0
"classic beginnings gold",50,0,0,0,0
"classic beginnings green",50,0,0,0,0
"classic beginnings orange",50,0,0,0,0
"classic beginnings purple",50,0,0,0,0
"classic beginnings red",50,0,0,0,0
"classic beginnings signatures",47,47,47,0,2333
"classic beginnings signatures black",49,49,49,0,49
"classic beginnings signatures blue",49,49,49,0,218
"classic beginnings signatures gold",48,48,48,0,1431
"classic beginnings signatures red",48,48,48,0,738
"classic beginnings silver",50,0,0,0,0
"classic clashes",60,0,0,0,0
"classic combos",60,0,0,0,0
"classic combos black",60,0,0,0,0
"classic combos blue",60,0,0,0,0
"classic combos gold",60,0,0,0,0
"classic combos green",60,0,0,0,0
"classic combos orange",60,0,0,0,0
"classic combos purple",60,0,0,0,0
"classic combos red",60,0,0,0,0
"classic combos signatures",30,30,30,0,256
"classic combos signatures black",54,54,54,0,54
"classic combos signatures blue",52,52,52,0,122
"classic combos signatures gold",54,54,54,0,244
"classic combos signatures red",54,54,54,0,182
"classic combos silver",60,0,0,0,0
classics,35,0,0,0,0
"classics blue",35,0,0,0,0
"classics gold",35,0,0,0,0
"classics platinum",35,0,0,0,0
"classics premium edition base",25,0,0,0,0
"classics premium edition base autograph black finite",22,22,22,0,22
"classics premium edition base autograph gold",21,21,21,0,210
"classics premium edition base autograph gold vinyl",21,21,21,0,21
"classics premium edition base autograph silver",21,21,21,0,1785
"classics premium edition base blue",25,0,0,0,0
"classics premium edition base cracked ice",25,0,0,0,0
"classics premium edition base gold",25,0,0,0,0
"classics premium edition base gold vinyl",25,0,0,0,0
"classics premium edition base green",25,0,0,0,0
"classics premium edition base green cracked ice",25,0,0,0,0
"classics premium edition base orange",25,0,0,0,0
"classics premium edition base pink",25,0,0,0,0
"classics premium edition base purple",25,0,0,0,0
"classics premium edition base red",25,0,0,0,0
"classics premium edition base silver",25,0,0,0,0
"classics purple",35,0,0,0,0
"classics red",35,0,0,0,0
"clear shots",40,0,0,0,0
"clear shots black",40,0,0,0,0
"clear shots emerald",40,0,0,0,0
"clear shots gold",40,0,0,0,0
"clear shots green",40,0,0,0,0
"clear shots light blue",40,0,0,0,0
"clear shots orange",40,0,0,0,0
"clear shots pink",40,0,0,0,0
"clear shots purple",40,0,0,0,0
"clear shots red",40,0,0,0,0
"clear shots sapphire",40,0,0,0,0
"clear shots signatures",30,30,30,0,732
"clear shots signatures black",13,13,13,0,155
"clear shots signatures gold",15,15,15,0,109
"clear shots signatures green",20,20,20,0,110
"clear shots signatures light blue",12,12,12,0,270
"clear shots signatures pink",11,11,11,0,330
"clear shots signatures purple",32,32,32,0,32
"clear shots signatures red",13,13,13,0,203
"clear vision base",25,0,0,0,0
"clear vision base blue",25,0,0,0,0
"clear vision base gold",25,0,0,0,0
"clear vision base green",25,0,0,0,0
"clear vision base orange",25,0,0,0,0
"clear vision base pink",25,0,0,0,0
"clear vision base platinum",25,0,0,0,0
"clear vision base purple",25,0,0,0,0
"clear vision base red",25,0,0,0,0
"clear vision rookies",90,0,0,0,0
"clear vision rookies blue",90,0,0,0,0
"clear vision rookies holo gold",90,0,0,0,0
"clear vision rookies holo platinum",90,0,0,0,0
"clear vision rookies holo silver",90,0,0,0,0
"clear vision rookies purple",90,0,0,0,0
"clear vision rookies red",90,0,0,0,0
"clearly best tuddys",20,0,0,0,0
"clearly best tuddys blue",20,0,0,0,0
"clearly best tuddys gold",20,0,0,0,0
"clearly best tuddys green",20,0,0,0,0
"clearly best tuddys mosaic",20,0,0,0,0
"clearly best tuddys platinum",20,0,0,0,0
"clearly best tuddys red",20,0,0,0,0
"clearly bomb squad",20,0,0,0,0
"clearly bomb squad autographs",11,11,11,0,725
"clearly bomb squad blue",20,0,0,0,0
"clearly bomb squad gold",20,0,0,0,0
"clearly bomb squad green",20,0,0,0,0
"clearly bomb squad mosaic",20,0,0,0,0
"clearly bomb squad platinum",20,0,0,0,0
"clearly bomb squad red",20,0,0,0,0
"clearly captain in charge",10,0,0,0,0
"clearly captain in charge autographs",7,7,7,0,85
"clearly captain in charge blue",10,0,0,0,0
"clearly captain in charge gold",10,0,0,0,0
"clearly captain in charge green",10,0,0,0,0
"clearly captain in charge mosaic",10,0,0,0,0
"clearly captain in charge platinum",10,0,0,0,0
"clearly captain in charge red",10,0,0,0,0
"clearly champions",30,0,0,0,0
"clearly champions autographs",17,17,17,0,695
"clearly champions green",30,0,0,0,0
"clearly champions holo gold",30,0,0,0,0
"clearly champions holo mosaic",30,0,0,0,0
"clearly champions holo platinum",30,0,0,0,0
"clearly champions holo silver",30,0,0,0,0
"clearly champions red",30,0,0,0,0
"clearly dominant",15,0,0,0,0
"clearly dominant autographs",13,13,13,0,180
"clearly dominant green",15,0,0,0,0
"clearly dominant holo gold",15,0,0,0,0
"clearly dominant holo mosaic",15,0,0,0,0
"clearly dominant holo platinum",15,0,0,0,0
"clearly dominant holo silver",15,0,0,0,0
"clearly dominant red",15,0,0,0,0
"clearly donruss base",25,0,0,0,0
"clearly donruss base blue",25,0,0,0,0
"clearly donruss base gold",25,0,0,0,0
"clearly donruss base green",25,0,0,0,0
"clearly donruss base orange",25,0,0,0,0
"clearly donruss base pink",25,0,0,0,0
"clearly donruss base platinum",25,0,0,0,0
"clearly donruss base purple",25,0,0,0,0
"clearly donruss base red",25,0,0,0,0
"clearly donruss rated rookie autographs",44,44,0,44,0
"clearly donruss rated rookie autographs blue",46,46,46,0,1610
"clearly donruss rated rookie autographs holo gold",47,47,47,0,235
"clearly donruss rated rookie autographs holo mosaic",47,47,0,47,0
"clearly donruss rated rookie autographs holo platinum",47,47,47,0,47
"clearly donruss rated rookie autographs holo silver",47,47,47,0,470
"clearly donruss rated rookie autographs purple",47,47,47,0,1175
"clearly donruss rated rookies",75,0,0,0,0
"clearly donruss rated rookies blue",75,0,0,0,0
"clearly donruss rated rookies gold",25,0,0,0,0
"clearly donruss rated rookies green",25,0,0,0,0
"clearly donruss rated rookies holo gold",50,0,0,0,0
"clearly donruss rated rookies holo mosaic",50,0,0,0,0
"clearly donruss rated rookies holo platinum",50,0,0,0,0
"clearly donruss rated rookies holo silver",50,0,0,0,0
"clearly donruss rated rookies orange",25,0,0,0,0
"clearly donruss rated rookies pink",25,0,0,0,0
"clearly donruss rated rookies platinum",25,0,0,0,0
"clearly donruss rated rookies purple",75,0,0,0,0
"clearly donruss rated rookies red",75,0,0,0,0
"clearly highlights",24,0,0,0,0
"clearly highlights autographs",12,12,12,0,410
"clearly highlights green",24,0,0,0,0
"clearly highlights holo gold",24,0,0,0,0
"clearly highlights holo mosaic",24,0,0,0,0
"clearly highlights holo platinum",24,0,0,0,0
"clearly highlights holo silver",24,0,0,0,0
"clearly highlights red",24,0,0,0,0
"clearly immaculate jerseys",99,0,0,0,0
"clearly immaculate jerseys platinum",99,0,0,0,0
"clearly immaculate jerseys prime",99,0,0,0,0
"clearly immaculate rookie jerseys",126,0,0,0,0
"clearly immaculate rookie jerseys platinum",126,0,0,0,0
"clearly immaculate rookie jerseys prime",126,0,0,0,0
"clearly my house",42,0,0,0,0
"clearly my house autographs",22,22,22,0,290
"clearly my house green",42,0,0,0,0
"clearly my house holo gold",42,0,0,0,0
"clearly my house holo mosaic",42,0,0,0,0
"clearly my house holo platinum",42,0,0,0,0
"clearly my house holo silver",42,0,0,0,0
"clearly my house red",42,0,0,0,0
"clearly out of this world",15,0,0,0,0
"clearly out of this world autographs",12,12,12,0,135
"clearly out of this world green",15,0,0,0,0
"clearly out of this world holo gold",15,0,0,0,0
"clearly out of this world holo mosaic",15,0,0,0,0
"clearly out of this world holo platinum",15,0,0,0,0
"clearly out of this world holo silver",15,0,0,0,0
"clearly out of this world red",15,0,0,0,0
"clearly rated rookie autographs",178,178,0,178,0
"clearly rated rookie autographs black",139,139,139,0,1180
"clearly rated rookie autographs black galactic",42,42,42,0,42
"clearly rated rookie autographs black spider",97,97,97,0,97
"clearly rated rookie autographs blue",184,184,184,0,16142
"clearly rated rookie autographs gold",42,42,42,0,420
"clearly rated rookie autographs green",187,187,187,0,4675
"clearly rated rookie autographs holo gold",147,147,147,0,735
"clearly rated rookie autographs holo mosaic",147,147,0,147,0
"clearly rated rookie autographs holo platinum",147,147,147,0,147
"clearly rated rookie autographs holo rr logo",147,147,0,147,0
"clearly rated rookie autographs holo silver",50,50,50,0,500
"clearly rated rookie autographs ice",42,42,42,0,714
"clearly rated rookie autographs mosaic",42,42,42,0,840
"clearly rated rookie autographs orange",138,138,138,0,17234
"clearly rated rookie autographs pink",97,97,97,0,1205
"clearly rated rookie autographs platinum",42,42,42,0,42
"clearly rated rookie autographs purple",136,136,136,0,19600
"clearly rated rookie autographs red",185,185,185,0,12915
"clearly rated rookie autographs rr logo",42,42,42,0,1344
"clearly rated rookie autographs stars",42,42,42,0,2058
"clearly rated rookie autographs team logos",42,42,42,0,294
"clearly rated rookie autographs techno",97,97,97,0,770
"clearly rated rookie autographs vintage stripes",97,97,97,0,1746
"clearly retro 1991",20,0,0,0,0
"clearly retro 1991 autographs",16,16,16,0,138
"clearly retro 1991 green",20,0,0,0,0
"clearly retro 1991 holo gold",20,0,0,0,0
"clearly retro 1991 holo mosaic",20,0,0,0,0
"clearly retro 1991 holo platinum",20,0,0,0,0
"clearly retro 1991 holo silver",20,0,0,0,0
"clearly retro 1991 red",20,0,0,0,0
"clearly retro 1992",20,0,0,0,0
"clearly retro 1992 autographs",9,9,9,0,195
"clearly retro 1992 green",20,0,0,0,0
"clearly retro 1992 holo gold",20,0,0,0,0
"clearly retro 1992 holo mosaic",20,0,0,0,0
"clearly retro 1992 holo platinum",20,0,0,0,0
"clearly retro 1992 holo silver",20,0,0,0,0
"clearly retro 1992 red",20,0,0,0,0
"clearly retro 1993",20,0,0,0,0
"clearly retro 1993 autographs",8,8,8,0,180
"clearly retro 1993 green",20,0,0,0,0
"clearly retro 1993 holo gold",20,0,0,0,0
"clearly retro 1993 holo mosaic",20,0,0,0,0
"clearly retro 1993 holo platinum",20,0,0,0,0
"clearly retro 1993 holo silver",20,0,0,0,0
"clearly retro 1993 red",20,0,0,0,0
"clearly retro 1994",20,0,0,0,0
"clearly retro 1994 autographs",19,19,19,0,2564
"clearly retro 1994 blue",20,0,0,0,0
"clearly retro 1994 gold",20,0,0,0,0
"clearly retro 1994 green",20,0,0,0,0
"clearly retro 1994 mosaic",20,0,0,0,0
"clearly retro 1994 platinum",20,0,0,0,0
"clearly retro 1994 red",20,0,0,0,0
"clearly retro 2001",20,0,0,0,0
"clearly retro 2001 autographs",19,19,19,0,127
"clearly retro 2001 green",20,0,0,0,0
"clearly retro 2001 holo gold",20,0,0,0,0
"clearly retro 2001 holo mosaic",20,0,0,0,0
"clearly retro 2001 holo platinum",20,0,0,0,0
"clearly retro 2001 holo silver",20,0,0,0,0
"clearly retro 2001 red",20,0,0,0,0
"clearly retro 2002",20,0,0,0,0
"clearly retro 2002 autographs",19,19,19,0,415
"clearly retro 2002 green",20,0,0,0,0
"clearly retro 2002 holo gold",20,0,0,0,0
"clearly retro 2002 holo mosaic",20,0,0,0,0
"clearly retro 2002 holo platinum",20,0,0,0,0
"clearly retro 2002 holo silver",20,0,0,0,0
"clearly retro 2002 red",20,0,0,0,0
"clearly retro 2003",20,0,0,0,0
"clearly retro 2003 autographs",18,18,18,0,875
"clearly retro 2003 green",20,0,0,0,0
"clearly retro 2003 holo gold",20,0,0,0,0
"clearly retro 2003 holo mosaic",20,0,0,0,0
"clearly retro 2003 holo platinum",20,0,0,0,0
"clearly retro 2003 holo silver",20,0,0,0,0
"clearly retro 2003 red",20,0,0,0,0
"clearly retro 2004",20,0,0,0,0
"clearly retro 2004 autographs",19,19,19,0,1498
"clearly retro 2004 blue",20,0,0,0,0
"clearly retro 2004 gold",20,0,0,0,0
"clearly retro 2004 green",20,0,0,0,0
"clearly retro 2004 mosaic",20,0,0,0,0
"clearly retro 2004 platinum",20,0,0,0,0
"clearly retro 2004 red",20,0,0,0,0
"clearly retro classics 2001",2,0,0,0,0
"clearly retro classics 2001 holo platinum",2,0,0,0,0
"clearly retro classics 2005",2,0,0,0,0
"clearly retro classics 2005 holo platinum",2,0,0,0,0
"clearly retro classics 2007",1,0,0,0,0
"clearly retro classics 2007 holo platinum",1,0,0,0,0
"clearly retro rated rookie 1988",3,0,0,0,0
"clearly retro rated rookie 1988 holo platinum",3,0,0,0,0
"clearly retro rated rookie 1989",4,0,0,0,0
"clearly retro rated rookie 1989 holo platinum",4,0,0,0,0
"clearly retro rated rookie 1996",1,0,0,0,0
"clearly retro rated rookie 1996 holo platinum",1,0,0,0,0
"clearly retro rated rookie 1999",1,0,0,0,0
"clearly retro rated rookie 1999 holo platinum",1,0,0,0,0
"clearly retro rated rookie 2002",1,0,0,0,0
"clearly retro rated rookie 2002 holo platinum",1,0,0,0,0
"clearly retro rated rookie 2010",2,0,0,0,0
"clearly retro rated rookie 2010 holo platinum",2,0,0,0,0
"clearly retro rated rookie 2016",6,0,0,0,0
"clearly retro rated rookie 2016 holo platinum",6,0,0,0,0
"clearly retro rated rookie 2017",2,0,0,0,0
"clearly retro rated rookie 2017 holo platinum",2,0,0,0,0
"clearly retro rated rookie 2018",3,0,0,0,0
"clearly retro rated rookie 2018 holo platinum",3,0,0,0,0
"clearly retro rated rookie 2019",3,0,0,0,0
"clearly retro rated rookie 2019 holo platinum",3,0,0,0,0
"clearly the rookies",65,0,0,0,0
"clearly the rookies autographs",48,48,48,0,1194
"clearly the rookies blue",20,0,0,0,0
"clearly the rookies gold",20,0,0,0,0
"clearly the rookies green",65,0,0,0,0
"clearly the rookies holo gold",45,0,0,0,0
"clearly the rookies holo mosaic",45,0,0,0,0
"clearly the rookies holo platinum",45,0,0,0,0
"clearly the rookies holo silver",45,0,0,0,0
"clearly the rookies mosaic",20,0,0,0,0
"clearly the rookies platinum",20,0,0,0,0
"clearly the rookies red",65,0,0,0,0
"cleat immpressions",20,0,0,0,0
"cleat impressions",30,0,0,0,0
"cleat impressions autograph",22,22,22,0,550
"cleat impressions autographs",8,8,8,0,200
clutch,20,0,0,0,0
"clutch black",20,0,0,0,0
"clutch emerald",20,0,0,0,0
"clutch gold",20,0,0,0,0
"clutch green",20,0,0,0,0
"clutch light blue",20,0,0,0,0
"clutch mosaic",20,0,0,0,0
"clutch orange",20,0,0,0,0
"clutch pink",20,0,0,0,0
"clutch purple",20,0,0,0,0
"clutch rainbow",20,0,0,0,0
"clutch red",20,0,0,0,0
"clutch sapphire",20,0,0,0,0
"clutch signatures",9,9,9,0,891
"clutch signatures black",16,16,16,0,16
"clutch signatures gold",13,13,13,0,130
"clutch signatures green",15,15,15,0,75
"clutch signatures light blue",12,12,12,0,420
"clutch signatures pink",10,10,10,0,500
"clutch signatures purple",11,11,11,0,165
"clutch signatures red",11,11,11,0,275
"clutch stardust",20,0,0,0,0
"clutch time ink",24,24,24,0,1056
"clutch time ink platinum",25,25,25,0,25
"coaches ticket",25,0,0,0,0
"coaches ticket autographs",22,22,22,0,1010
"coaches ticket autographs cracked ice",22,22,22,0,449
"coaches ticket autographs gold",24,24,24,0,235
"coaches ticket autographs gold vinyl",24,24,24,0,24
"coaches ticket autographs green pulsar",22,22,22,0,590
"coaches ticket autographs nebula",24,24,24,0,48
"coaches ticket autographs printing plate black",24,24,24,0,24
